timestamp,left_elbow,right_elbow,left_knee,right_knee,shoulder_alignment,hip_alignment,posture_ok
2026-03-30T00:19:30.193,,,,,0.0104,,1
2026-03-30T00:19:30.529,,,,,0.0089,,1
2026-03-30T00:19:30.832,,,,,0.0292,,1
2026-03-30T00:19:31.141,,,,,0.0721,,0
2026-03-30T00:19:31.536,,,,,0.0846,,0
2026-03-30T00:19:31.895,,,,,0.1308,,0
2026-03-30T00:19:32.297,,,,,0.1546,,0
2026-03-30T00:19:32.677,,,,,0.1808,,0
2026-03-30T00:19:33.060,,,,,0.2062,,0
2026-03-30T00:19:33.430,,,,,0.2162,,0
2026-03-30T00:19:33.809,,,,,0.2450,,0
2026-03-30T00:19:34.181,,,,,0.2404,,0
2026-03-30T00:19:34.600,,,,,0.2388,,0
2026-03-30T00:19:34.960,41.76,,,,0.2417,,0
2026-03-30T00:19:35.335,41.73,,,,0.2221,,0
2026-03-30T00:19:35.731,47.81,,,,0.2058,,0
2026-03-30T00:19:36.132,49.85,,,,0.1746,,0
2026-03-30T00:19:36.989,36.22,,,,0.1263,,0
2026-03-30T00:19:37.382,29.22,,,,0.1425,,0
2026-03-30T00:19:37.762,30.79,,,,0.1700,,0
2026-03-30T00:19:38.113,35.13,,,,0.1825,,0
2026-03-30T00:19:38.534,42.99,,,,0.1842,,0
2026-03-30T00:19:38.910,47.50,,,,0.1904,,0
2026-03-30T00:19:39.338,48.39,,,,0.1942,,0
2026-03-30T00:19:39.741,45.76,,,,0.2079,,0
2026-03-30T00:19:40.117,39.59,,,,0.2183,,0
2026-03-30T00:19:40.530,32.84,,,,0.2096,,0
2026-03-30T00:19:40.866,24.21,,,,0.1675,,0
2026-03-30T00:19:41.148,83.92,,,,0.0663,,0
2026-03-30T00:19:41.447,,,,,0.0300,,1
2026-03-30T00:19:41.770,,,,,0.0308,,0
2026-03-30T00:19:42.137,,,,,0.0396,,0
