timestamp,left_elbow,right_elbow,left_knee,right_knee,shoulder_alignment,hip_alignment,posture_ok
2026-03-29T21:33:03.238,,,,,0.0312,,0
2026-03-29T21:33:03.676,,,,,0.0307,,0
2026-03-29T21:33:03.988,,,,,0.0312,,0
2026-03-29T21:33:04.284,,,,,0.0383,,0
2026-03-29T21:33:04.593,,,,,0.0354,,0
2026-03-29T21:33:04.968,,,,,0.0604,,0
2026-03-29T21:33:05.360,43.98,,,,0.1167,,0
2026-03-29T21:33:05.727,46.68,,,,0.1233,,0
2026-03-29T21:33:06.101,50.09,,,,0.1242,,0
2026-03-29T21:33:06.488,51.68,,,,0.1258,,0
2026-03-29T21:33:06.854,51.18,,,,0.1296,,0
2026-03-29T21:33:07.216,50.60,,,,0.1308,,0
2026-03-29T21:33:07.601,51.06,,,,0.1288,,0
2026-03-29T21:33:07.963,51.51,,,,0.1267,,0
2026-03-29T21:33:08.339,51.70,,,,0.1275,,0
2026-03-29T21:33:08.734,51.42,,,,0.1292,,0
2026-03-29T21:33:09.107,51.42,,,,0.1292,,0
2026-03-29T21:33:09.486,51.12,,,,0.1292,,0
2026-03-29T21:33:09.845,51.05,,,,0.1313,,0
2026-03-29T21:33:10.231,51.00,,,,0.1342,,0
2026-03-29T21:33:10.596,51.13,,,,0.1329,,0
2026-03-29T21:33:10.988,51.31,,,,0.1292,,0
2026-03-29T21:33:11.370,51.32,,,,0.1258,,0
2026-03-29T21:33:11.732,51.87,,,,0.1246,,0
2026-03-29T21:33:12.105,54.53,,,,0.1250,,0
2026-03-29T21:33:12.468,62.22,,,,0.1283,,0
2026-03-29T21:33:12.842,74.08,,,,0.1337,,0
2026-03-29T21:33:13.198,86.34,,,,0.1333,,0
2026-03-29T21:33:13.569,95.88,,,,0.1388,,0
2026-03-29T21:33:13.899,109.06,,,,0.1596,,0
2026-03-29T21:33:14.183,127.02,,,,0.1512,,0
2026-03-29T21:33:14.458,142.03,,,,0.1304,,0
2026-03-29T21:33:14.752,156.95,,,,0.1196,,0
2026-03-29T21:33:15.091,169.40,,,,0.1121,,0
2026-03-29T21:33:15.393,173.43,,,,0.1154,,0
2026-03-29T21:33:15.673,173.39,,,,0.1187,,0
2026-03-29T21:33:15.954,175.98,,,,0.1221,,0
2026-03-29T21:33:16.304,179.04,,,,0.1371,,0
2026-03-29T21:33:16.677,179.07,,,,0.1383,,0
2026-03-29T21:33:17.036,178.78,,,,0.1346,,0
2026-03-29T21:33:17.373,179.01,,,,0.1383,,0
2026-03-29T21:33:17.708,179.28,,,,0.1408,,0
2026-03-29T21:33:18.064,178.69,,,,0.1396,,0
2026-03-29T21:33:18.439,177.89,,,,0.1329,,0
2026-03-29T21:33:18.789,177.17,,,,0.1242,,0
2026-03-29T21:33:19.166,177.24,,,,0.1179,,0
2026-03-29T21:33:19.531,178.31,,,,0.1171,,0
2026-03-29T21:33:19.877,179.32,,,,0.1154,,0
2026-03-29T21:33:20.153,169.05,,,,0.1075,,0
2026-03-29T21:33:20.476,149.21,,,,0.0704,,0
2026-03-29T21:33:20.788,149.18,,,,0.0275,,0
2026-03-29T21:33:21.068,,,,,0.0383,,0
2026-03-29T21:33:21.359,,,,,0.0579,,0
2026-03-29T21:33:21.645,,,,,0.0683,,0
2026-03-29T21:33:21.916,,,,,0.0758,,0
2026-03-29T21:33:22.191,,,,,0.0663,,0
2026-03-29T21:33:22.471,,,,,0.0396,,0
2026-03-29T21:33:22.743,,,,,0.0187,,1
2026-03-29T21:33:23.013,,,,,0.0146,,1
2026-03-29T21:33:23.296,,,,,0.0329,,0
2026-03-29T21:33:23.563,,,,,0.0312,,0
2026-03-29T21:33:23.835,,,,,0.0242,,1
2026-03-29T21:33:24.113,,,,,0.0233,,1
2026-03-29T21:33:24.408,,,,,0.0238,,1
