timestamp,left_elbow,right_elbow,left_knee,right_knee,shoulder_alignment,hip_alignment,posture_ok
2026-03-29T21:38:13.859,,,,,0.0167,,1
2026-03-29T21:38:14.221,,,,,0.0203,,1
2026-03-29T21:38:14.560,,,,,0.0192,,1
2026-03-29T21:38:14.858,,,,,0.0200,,1
2026-03-29T21:38:15.165,,,,,0.0279,,1
2026-03-29T21:38:15.440,,,,,0.0346,,0
2026-03-29T21:38:15.742,,,,,0.0371,,0
2026-03-29T21:38:16.046,,,,,0.0371,,0
2026-03-29T21:38:16.352,,,,,0.0387,,0
2026-03-29T21:38:16.668,,,,,0.0467,,0
2026-03-29T21:38:17.009,,,,,0.0254,,1
2026-03-29T21:38:17.354,,7.01,,,0.0029,,0
2026-03-29T21:38:17.753,38.22,6.89,,,0.0042,,0
2026-03-29T21:38:18.129,38.23,3.88,,,0.0071,,0
2026-03-29T21:38:18.512,39.82,1.88,,,0.0100,,0
2026-03-29T21:38:18.881,39.51,36.48,,,0.0104,,0
2026-03-29T21:38:19.249,40.36,77.62,,,0.0083,,0
2026-03-29T21:38:19.634,43.93,32.83,,,0.0037,,0
2026-03-29T21:38:20.020,41.32,19.91,,,0.0025,,0
2026-03-29T21:38:20.347,81.27,51.25,,,0.0208,,0
2026-03-29T21:38:20.625,161.27,55.17,,,0.0508,,0
2026-03-29T21:38:20.899,,17.24,,,0.0454,,0
2026-03-29T21:38:21.202,,61.72,,,0.0396,,0
2026-03-29T21:38:21.512,,64.87,,,0.0371,,0
2026-03-29T21:38:21.792,,,,,0.0379,,0
2026-03-29T21:38:22.094,,,,,0.0412,,0
2026-03-29T21:38:22.382,,,,,0.0392,,0
2026-03-29T21:38:22.682,,,,,0.0354,,0
